date,bc_active_addresses,bc_tx_count,bc_hash_rate,bc_fees_usd,bc_tx_volume_usd,bc_mempool_bytes,cm_mvrv,cm_active_addr,cm_stablecoin_cap,fear_greed,spx,dxy,vix,us10y
2025-06-27 00:00:00+00:00,524379.0,335434.0,722653863.6004148,475865.85564289987,12887703108.271957,15165905.5,2.2307257878946083,731987.0,218917169526.1293,65.0,6173.07,119.659,16.32,4.29
2025-06-28 00:00:00+00:00,457275.0,388943.0,911172262.800523,416662.6058298999,3336314161.1267157,1492600.0,2.2355962704995864,636115.0,218852256947.15372,65.0,,,,
2025-06-29 00:00:00+00:00,442209.0,380608.0,995260121.1336331,309792.07713770005,3488152854.034,333745.5,2.255148786868359,545712.0,218756061572.37772,68.0,,,,
2025-06-30 00:00:00+00:00,521131.0,339268.0,843035679.3574839,455555.37119860004,14136311601.559845,2347103.0,2.224449219216365,759866.0,218829403397.5285,66.0,6204.95,119.4088,16.73,4.24
2025-07-01 00:00:00+00:00,542508.0,325613.0,779081248.5096745,448379.03791420016,7525873041.10213,3524763.0,2.190371437932748,796482.0,218807052255.9967,64.0,6198.01,119.3436,16.83,4.26
2025-07-02 00:00:00+00:00,572880.0,366147.0,889547992.701345,491126.5067342001,9829934492.062973,569015.5,2.2572933277993874,794995.0,218906832638.51953,63.0,6227.42,119.3037,16.64,4.3
2025-07-03 00:00:00+00:00,571346.0,361041.0,877919914.3653797,465979.5033646,11161785740.783573,2676262.5,2.2682210955541695,798168.0,220229845936.86017,73.0,6279.35,119.2382,16.38,4.35
2025-07-04 00:00:00+00:00,527167.0,366873.0,924432227.709241,366497.50840610015,16598074235.295662,988271.5,2.215345083660493,693948.0,220165303235.62933,73.0,,,17.48,
2025-07-05 00:00:00+00:00,426226.0,427456.0,912804149.3732755,332567.09397260007,2818051738.286806,5837801.5,2.2180745576921685,561792.0,220211240635.605,67.0,,,,
2025-07-06 00:00:00+00:00,436195.0,506401.0,930246266.8772235,435562.5404212,2856385887.529106,583971.5,2.236333996776805,613042.0,220201585363.33636,66.0,,,,
2025-07-07 00:00:00+00:00,493343.0,360355.0,877919914.3653797,440246.9788941,9758779721.625797,11771415.0,2.2137003448829926,686261.0,220045057214.29117,73.0,6229.98,119.6201,17.79,4.4
2025-07-08 00:00:00+00:00,521277.0,354753.0,825593561.8535358,504048.44171439996,8193896030.848373,1740815.5,2.2241472452865456,795709.0,220130849815.6396,65.0,6225.52,119.8371,16.81,4.42
